last_situations
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 5.344138)}"
"{'p1': ('white', 'DONE', 0, 10), 'p2': ('black', 'DONE', 1, 3.252034999999997)}"
"{'p1': ('white', 'DONE', 0, 10), 'p2': ('black', 'TIMEOUT', None, -0.0026560000000002415)}"
"{'p1': ('white', 'DONE', 0, 10), 'p2': ('black', 'DONE', 1, 7.718967)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 6.957559000000001)}"
"{'p1': ('white', 'DONE', 0, 10), 'p2': ('black', 'DONE', 1, 7.270993000000004)}"
"{'p1': ('white', 'DONE', 0, 10), 'p2': ('black', 'DONE', 1, 8.791545)}"
"{'p1': ('white', 'DONE', 0, 10), 'p2': ('black', 'DONE', 1, 8.599181999999999)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0.5, 10), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 1, 9.343813999999998), 'p2': ('black', 'DONE', 0, 0.9831759999999983)}"
"{'p1': ('white', 'DONE', 1, 9.422938000000002), 'p2': ('black', 'DONE', 0, 8.003162999999999)}"
"{'p1': ('white', 'DONE', 1, 7.355511999999999), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 1, 9.106428999999999), 'p2': ('black', 'DONE', 0, 9.986798)}"
"{'p1': ('white', 'DONE', 1, 9.722641), 'p2': ('black', 'DONE', 0, 9.939771999999998)}"
"{'p1': ('white', 'DONE', 1, 9.322080999999999), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 1, 6.962063), 'p2': ('black', 'DONE', 0, 9.390170000000001)}"
"{'p1': ('white', 'DONE', 1, 9.212182000000002), 'p2': ('black', 'DONE', 0, 5.690168000000002)}"
"{'p1': ('white', 'DONE', 1, 9.168255000000002), 'p2': ('black', 'DONE', 0, 8.541577999999998)}"
"{'p1': ('white', 'DONE', 1, 7.452483000000001), 'p2': ('black', 'DONE', 0, 8.842168000000001)}"
"{'p1': ('white', 'DONE', 1, 9.624314), 'p2': ('black', 'DONE', 0, 9.211204)}"
"{'p1': ('white', 'DONE', 1, 9.412799999999999), 'p2': ('black', 'DONE', 0, 9.240373)}"
"{'p1': ('white', 'DONE', 0.5, 8.069132999999997), 'p2': ('black', 'DONE', 0.5, 6.152711999999999)}"
"{'p1': ('white', 'DONE', 1, 7.415626), 'p2': ('black', 'DONE', 0, 9.757766)}"
"{'p1': ('white', 'DONE', 1, 7.0560269999999985), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 1, 8.222885999999999), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 0.5, 0.5859239999999987), 'p2': ('black', 'DONE', 0.5, 8.251814000000001)}"
"{'p1': ('white', 'DONE', 0, 8.822174), 'p2': ('black', 'DONE', 1, 8.902171999999997)}"
"{'p1': ('white', 'DONE', 0, 10), 'p2': ('black', 'DONE', 1, 6.332197000000002)}"
"{'p1': ('white', 'DONE', 0, 10), 'p2': ('black', 'DONE', 1, 8.356911)}"
"{'p1': ('white', 'DONE', 0, 9.876211000000001), 'p2': ('black', 'DONE', 1, 9.111384000000001)}"
"{'p1': ('white', 'DONE', 0, 9.994697), 'p2': ('black', 'DONE', 1, 7.607956999999999)}"
"{'p1': ('white', 'DONE', 0, 8.762624000000002), 'p2': ('black', 'DONE', 1, 6.511000999999999)}"
"{'p1': ('white', 'DONE', 0, 5.270083), 'p2': ('black', 'DONE', 1, 6.703995999999998)}"
"{'p1': ('white', 'DONE', 0, 8.494844), 'p2': ('black', 'DONE', 1, 8.161024999999997)}"
"{'p1': ('white', 'DONE', 0, 9.728858), 'p2': ('black', 'DONE', 1, 7.480891999999997)}"
"{'p1': ('white', 'DONE', 0, 9.21458), 'p2': ('black', 'DONE', 1, 9.382366000000003)}"
"{'p1': ('white', 'DONE', 0, 8.103376), 'p2': ('black', 'DONE', 1, 8.20065)}"
"{'p1': ('white', 'DONE', 0.5, 8.170641), 'p2': ('black', 'DONE', 0.5, 6.928200999999999)}"
"{'p1': ('white', 'DONE', 0, 9.294094999999999), 'p2': ('black', 'DONE', 1, 6.288738000000001)}"
"{'p1': ('white', 'DONE', 0, 9.806214000000002), 'p2': ('black', 'DONE', 1, 6.355460000000004)}"
"{'p1': ('white', 'DONE', 0, 10), 'p2': ('black', 'DONE', 1, 8.66751)}"
"{'p1': ('white', 'DONE', 1, 9.208056), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 0.5, 9.372626999999998), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 1, 8.594368), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 1, 8.381470000000002), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 1, 8.972563000000003), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 1, 8.120937999999997), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 1, 8.140585), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 1, 8.610764999999999), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 1, 9.134503), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 1, 9.347045), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 1, 8.696204000000002), 'p2': ('black', 'DONE', 0, 10)}"
"{'p1': ('white', 'DONE', 1, 8.926633999999996), 'p2': ('black', 'DONE', 0, 10)}"
